timestamp,frame index,eci x [m],eci y [m],eci z [m],q_eta,q_e1,q_e2,q_e3
1735211817.912797,507,-699592.0441341411,-5019446.800107136,4771510.430902418,-0.015109070968982013,-0.8090007179773794,-0.3983650876826433,-0.431946958629168
1735211818.037797,508,-699854.6515208503,-5020064.221236235,4770843.620936715,-0.015067891460889122,-0.8089978500244238,-0.3983306461792471,-0.43198660136941525
1735211818.162797,509,-700117.2589075593,-5020681.6423653355,4770176.810971013,-0.015026711952796229,-0.8089949820714682,-0.398296204675851,-0.4320262441096625
1735211818.287797,510,-700379.8662942685,-5021299.063494435,4769510.001005311,-0.014985532444703336,-0.8089921141185128,-0.3982617631724548,-0.43206588684990976
1735211818.412797,511,-700642.4736809777,-5021916.484623534,4768843.191039609,-0.014944352936610443,-0.8089892461655572,-0.39822732166905866,-0.43210552959015697
1735211818.537797,512,-700905.0810676869,-5022533.905752634,4768176.381073906,-0.014903173428517552,-0.8089863782126017,-0.3981928801656625,-0.4321451723304042
1735211818.662797,513,-701167.6884543961,-5023151.326881733,4767509.571108204,-0.014861993920424659,-0.8089835102596461,-0.39815843866226636,-0.4321848150706515
1735211818.787797,514,-701430.2958411053,-5023768.748010832,4766842.761142502,-0.014820814412331766,-0.8089806423066905,-0.3981239971588702,-0.43222445781089874
1735211818.912797,515,-701692.9032278144,-5024386.169139932,4766175.9511768,-0.014779634904238873,-0.808977774353735,-0.39808955565547405,-0.432264100551146
1735211819.037797,516,-701955.5106145235,-5025003.590269031,4765509.141211097,-0.014738455396145982,-0.8089749064007795,-0.3980551141520779,-0.43230374329139326
1735211819.162797,517,-702218.1180012327,-5025621.01139813,4764842.331245395,-0.014697275888053089,-0.808972038447824,-0.39802067264868174,-0.4323433860316405
1735211819.287797,518,-702480.7253879419,-5026238.43252723,4764175.521279693,-0.014656096379960196,-0.8089691704948684,-0.39798623114528553,-0.4323830287718878
1735211819.412797,519,-702743.3327746511,-5026855.853656329,4763508.711313991,-0.014614916871867304,-0.8089663025419128,-0.3979517896418894,-0.43242267151213504
1735211819.537797,520,-703005.9401613602,-5027473.274785428,4762841.901348288,-0.014573737363774411,-0.8089634345889573,-0.3979173481384932,-0.43246231425238224
1735211819.662797,521,-703268.5475480694,-5028090.695914528,4762175.091382586,-0.014532557855681518,-0.8089605666360017,-0.39788290663509707,-0.4325019569926295
1735211819.787797,522,-703531.1549347786,-5028708.117043627,4761508.281416884,-0.014491378347588625,-0.8089576986830461,-0.3978484651317009,-0.43254159973287676
1735211819.912797,523,-703793.7623214878,-5029325.5381727265,4760841.471451182,-0.014450198839495734,-0.8089548307300907,-0.39781402362830476,-0.432581242473124
1735211820.037797,524,-704055.4281826653,-5029936.232281505,4760168.277365507,-0.014408852316889906,-0.8089517779570977,-0.3977787943378245,-0.43262118582481585
1735211820.162797,525,-704314.9218097678,-5030531.406192187,4759480.354201885,-0.014367120467913417,-0.8089482987778425,-0.3977417475098582,-0.43266182273010906
1735211820.287797,526,-704574.4154368704,-5031126.580102869,4758792.431038263,-0.01432538861893693,-0.8089448195985873,-0.3977047006818919,-0.4327024596354022
1735211820.412797,527,-704833.909063973,-5031721.754013551,4758104.507874642,-0.014283656769960441,-0.8089413404193321,-0.3976676538539256,-0.43274309654069537
1735211820.537797,528,-705093.4026910755,-5032316.9279242335,4757416.58471102,-0.014241924920983954,-0.8089378612400768,-0.3976306070259593,-0.4327837334459885
1735211820.662797,529,-705352.896318178,-5032912.101834916,4756728.661547398,-0.014200193072007466,-0.8089343820608217,-0.397593560197993,-0.4328243703512817
1735211820.787797,530,-705612.3899452806,-5033507.275745598,4756040.7383837765,-0.014158461223030978,-0.8089309028815664,-0.39755651337002673,-0.4328650072565749
1735211820.912797,531,-705871.8835723832,-5034102.44965628,4755352.815220155,-0.01411672937405449,-0.8089274237023112,-0.3975194665420604,-0.43290564416186805
